,WIND
4178,3.0
4998,11.63
1166,10.63
1130,8.83
2593,2.21
2427,6.04
4448,7.87
2439,1.63
4075,2.13
2045,9.87
4779,7.29
3169,3.88
5104,3.17
4585,5.17
4367,8.04
3953,14.96
2540,4.67
1693,12.62
1780,8.12
4124,2.92
4772,11.96
3094,9.79
1196,8.63
3525,3.58
1868,1.87
4912,9.79
680,11.38
4527,13.59
926,8.42
3231,10.83
4876,13.46
2143,3.71
872,15.04
2664,4.33
1616,1.83
5005,13.46
4246,8.79
2413,3.83
3152,5.33
1672,14.58
846,10.71
2156,5.71
503,7.79
4319,9.25
3757,17.5
1549,11.58
958,3.08
3765,4.25
2406,7.92
3618,20.25
4218,8.38
1226,12.96
5006,9.59
1459,19.62
3492,3.21
4953,12.33
2740,4.0
2325,17.0
5295,10.75
3389,14.0
698,6.46
1450,17.08
4991,13.79
3446,5.5
5294,10.34
2672,10.92
3006,15.63
2087,8.08
2952,14.92
249,6.46
405,19.41
2645,3.17
3587,12.33
1295,14.67
3905,11.21
3203,20.62
1717,12.67
3163,12.38
3175,7.87
5007,5.5
3887,15.59
4698,11.04
4598,2.17
4326,13.62
4473,5.37
167,8.79
5117,2.79
2926,14.58
1040,3.46
4649,7.62
3888,11.87
1434,12.04
3641,9.5
2018,12.38
1681,3.42
2909,8.42
1783,6.25
1817,11.46
1975,1.75
4162,2.75
1542,6.21
2499,7.96
2832,3.92
2814,11.29
729,12.58
3782,12.96
3347,12.17
1252,5.46
4878,8.38
1838,16.25
1464,13.54
4558,11.54
784,15.5
4038,9.46
597,10.37
4638,9.67
3160,6.17
3114,3.21
1683,9.29
269,5.58
4405,9.87
4220,1.46
4388,10.63
10,4.63
3893,15.59
2646,2.33
3417,10.0
4377,20.88
4581,11.79
1878,9.38
2167,12.46
4893,7.75
564,4.88
1049,11.29
799,18.29
65,8.79
301,6.0
177,14.04
2949,12.87
474,3.33
447,4.88
3312,13.13
1969,17.33
3695,2.21
3125,8.63
1390,6.87
3040,9.62
1748,6.67
1612,5.79
2044,7.83
3907,19.25
2505,10.88
5283,14.62
3108,4.33
2576,9.71
36,14.37
1407,7.75
1822,7.58
2496,3.17
4314,21.67
4464,8.96
3697,8.38
3968,13.96
195,7.87
315,17.83
5131,16.5
4396,8.79
2453,9.29
2649,3.04
2319,13.96
2676,3.42
2115,7.33
3594,14.33
2008,16.33
4554,5.04
1237,1.46
4819,18.16
2978,8.29
1729,20.12
607,7.41
617,16.42
4942,5.71
3965,17.41
4844,7.21
3180,2.54
897,11.12
3332,4.54
5286,1.96
4003,5.21
132,4.0
1093,18.66
1483,10.88
1446,16.71
1183,22.95
289,15.83
1859,4.96
179,2.67
589,16.25
3483,5.83
2790,9.59
2525,5.54
2013,1.54
4110,4.42
1848,5.29
3351,12.21
2696,3.88
2611,9.83
1027,2.54
3867,7.46
2401,9.71
4219,6.0
1170,13.29
4965,21.75
4522,5.79
4130,8.67
4739,8.58
2476,8.21
2264,7.21
3085,10.83
1131,11.63
251,6.08
2916,12.29
3733,17.5
4506,3.08
3104,7.29
3928,9.87
5207,3.25
3844,8.04
4015,14.0
4340,2.92
2594,7.83
4778,9.04
2928,21.04
2713,11.46
727,10.5
4619,9.0
2549,8.25
4024,5.58
4973,14.71
257,10.96
4035,9.42
888,8.87
1279,7.0
518,12.96
2898,9.62
1892,2.42
2767,6.54
2815,10.79
667,14.96
997,15.04
3514,9.17
1441,15.46
2965,12.58
4787,11.67
2340,10.88
571,6.34
2897,9.21
5273,14.96
2697,1.5
916,3.92
4288,12.21
1109,4.17
2247,11.96
2813,6.46
1909,7.04
2865,14.46
510,4.75
3586,11.92
3974,16.79
327,3.63
3647,19.79
4441,8.29
895,7.67
1747,15.04
4917,11.75
5065,8.33
4376,16.58
336,17.29
4320,16.71
