,RAIN_inverse,T.MAX_3,T.MAX_2,T.MAX,T.MAX_T.MIN,T.MIN_2,T.MIN_3,T.MIN
4178,0.01,11697.082999999999,515.29,22.7,360.93,252.81,4019.679,15.9
4998,0.00975609756097561,571.7870000000001,68.89000000000001,8.3,12.450000000000001,2.25,3.375,1.5
1166,0.00998003992015968,2744.0,196.0,14.0,95.2,46.239999999999995,314.43199999999996,6.8
1130,0.01,5000.211000000001,292.41,17.1,153.9,81.0,729.0,9.0
2593,0.00967117988394584,753.5709999999999,82.80999999999999,9.1,60.059999999999995,43.559999999999995,287.496,6.6
2427,0.01,4574.296000000001,275.56000000000006,16.6,141.10000000000002,72.25,614.125,8.5
4448,0.01,13481.272,566.44,23.8,268.94,127.69000000000001,1442.8970000000002,11.3
2439,0.01,16194.277000000002,640.09,25.3,288.42,129.96,1481.544,11.4
4075,0.00980392156862745,3869.8929999999996,246.48999999999998,15.7,136.58999999999997,75.68999999999998,658.5029999999998,8.7
2045,0.01,42.875,12.25,3.5,-3.5,1.0,-1.0,-1.0
4779,0.01,6028.567999999999,331.23999999999995,18.2,185.64,104.03999999999999,1061.2079999999999,10.2
3169,0.01,4096.0,256.0,16.0,97.6,37.209999999999994,226.98099999999997,6.1
5104,0.01,4492.125,272.25,16.5,141.9,73.96,636.0559999999999,8.6
4585,0.01,1953.125,156.25,12.5,85.0,46.239999999999995,314.43199999999996,6.8
4367,0.00999000999000999,1225.0429999999997,114.48999999999998,10.7,12.839999999999998,1.44,1.7279999999999998,1.2
3953,0.00999000999000999,592.7040000000001,70.56,8.4,62.160000000000004,54.760000000000005,405.22400000000005,7.4
2540,0.00998003992015968,6859.0,361.0,19.0,228.0,144.0,1728.0,12.0
1693,0.009930486593843098,91.125,20.25,4.5,-2.25,0.25,-0.125,-0.5
1780,0.01,1225.0429999999997,114.48999999999998,10.7,-5.35,0.25,-0.125,-0.5
4124,0.01,11390.625,506.25,22.5,254.25000000000003,127.69000000000001,1442.8970000000002,11.3
4772,0.01,5929.741000000002,327.61000000000007,18.1,157.47,75.68999999999998,658.5029999999998,8.7
3094,0.01,3375.0,225.0,15.0,141.0,88.36000000000001,830.5840000000001,9.4
1196,0.01,2248.091,171.60999999999999,13.1,57.64,19.360000000000003,85.18400000000003,4.4
3525,0.01,4574.296000000001,275.56000000000006,16.6,156.04000000000002,88.36000000000001,830.5840000000001,9.4
1868,0.01,9261.0,441.0,21.0,184.8,77.44000000000001,681.4720000000002,8.8
4912,0.01,4096.0,256.0,16.0,86.4,29.160000000000004,157.46400000000003,5.4
680,0.009523809523809525,2515.4559999999997,184.95999999999998,13.6,65.28,23.04,110.59199999999998,4.8
4527,0.01,7301.383999999998,376.35999999999996,19.4,283.23999999999995,213.16,3112.136,14.6
926,0.00998003992015968,5639.752,316.84000000000003,17.8,165.54000000000002,86.49000000000001,804.3570000000002,9.3
3231,0.01,238.32800000000003,38.440000000000005,6.2,-2.4800000000000004,0.16000000000000003,-0.06400000000000002,-0.4
4876,0.01,2744.0,196.0,14.0,177.79999999999998,161.29,2048.383,12.7
2143,0.01,1191.0159999999998,112.36,10.6,32.86,9.610000000000001,29.791000000000004,3.1
872,0.01,5545.232999999999,313.28999999999996,17.7,155.76000000000002,77.44000000000001,681.4720000000002,8.8
2664,0.00999000999000999,405.22400000000005,54.760000000000005,7.4,-9.620000000000001,1.6900000000000002,-2.197,-1.3
1616,0.01,5359.375,306.25,17.5,113.75,42.25,274.625,6.5
