,RAIN_inverse,T.MAX_3,T.MAX_2,T.MAX,T.MAX_T.MIN,T.MIN_2,T.MIN_3,T.MIN
5005,0.009930486593843098,592.7040000000001,70.56,8.4,33.6,16.0,64.0,4.0
4246,0.01,1191.0159999999998,112.36,10.6,58.3,30.25,166.375,5.5
2413,0.01,4410.943999999999,268.96,16.4,137.76,70.56,592.7040000000001,8.4
3152,0.01,5359.375,306.25,17.5,120.75,47.61000000000001,328.50900000000007,6.9
1672,0.01,681.4720000000002,77.44000000000001,8.8,24.64,7.839999999999999,21.951999999999995,2.8
846,0.009930486593843098,2744.0,196.0,14.0,100.8,51.84,373.24800000000005,7.2
2156,0.009596928982725527,1643.0320000000004,139.24,11.8,80.24000000000001,46.239999999999995,314.43199999999996,6.8
503,0.01,2571.3529999999996,187.68999999999997,13.7,72.61,28.09,148.87699999999998,5.3
4319,0.01,438.97599999999994,57.76,7.6,-9.879999999999999,1.6900000000000002,-2.197,-1.3
3757,0.009871668311944718,2460.375,182.25,13.5,81.0,36.0,216.0,6.0
1549,0.009718172983479106,5545.232999999999,313.28999999999996,17.7,169.92,92.16,884.7359999999999,9.6
958,0.009569377990430622,4913.0,289.0,17.0,222.7,171.60999999999999,2248.091,13.1
3765,0.01,6967.871000000002,364.81000000000006,19.1,137.52,51.84,373.24800000000005,7.2
2406,0.01,5359.375,306.25,17.5,166.25,90.25,857.375,9.5
3618,0.009578544061302681,2352.637,176.89000000000001,13.3,55.86000000000001,17.64,74.08800000000001,4.2
4218,0.01,1601.6129999999996,136.89,11.7,98.28,70.56,592.7040000000001,8.4
1226,0.009505703422053232,3796.4159999999997,243.35999999999999,15.6,137.28,77.44000000000001,681.4720000000002,8.8
5006,0.009541984732824428,551.3679999999998,67.24,8.2,18.859999999999996,5.289999999999999,12.166999999999998,2.3
1459,0.00992063492063492,658.5029999999998,75.68999999999998,8.7,13.049999999999999,2.25,3.375,1.5
3492,0.009930486593843098,12812.903999999997,547.56,23.4,362.7,240.25,3723.875,15.5
4953,0.009891196834817014,1560.896,134.56,11.6,88.16,57.76,438.97599999999994,7.6
2740,0.009950248756218905,2515.4559999999997,184.95999999999998,13.6,144.16,112.36,1191.0159999999998,10.6
2325,0.009746588693957116,91.125,20.25,4.5,5.3999999999999995,1.44,1.7279999999999998,1.2
5295,0.009852216748768473,3048.625,210.25,14.5,104.4,51.84,373.24800000000005,7.2
3389,0.009823182711198428,3375.0,225.0,15.0,121.5,65.61,531.4409999999999,8.1
698,0.01,4574.296000000001,275.56000000000006,16.6,184.26000000000002,123.21,1367.6309999999999,11.1
1450,0.00998003992015968,1481.544,129.96,11.4,78.66000000000001,47.61000000000001,328.50900000000007,6.9
4991,0.00998003992015968,438.97599999999994,57.76,7.6,10.639999999999999,1.9599999999999997,2.7439999999999993,1.4
3446,0.00998003992015968,5639.752,316.84000000000003,17.8,149.52,70.56,592.7040000000001,8.4
5294,0.009208103130755065,1225.0429999999997,114.48999999999998,10.7,70.61999999999999,43.559999999999995,287.496,6.6
2672,0.01,636.0559999999999,73.96,8.6,29.24,11.559999999999999,39.303999999999995,3.4
3006,0.009606147934678195,1000.0,100.0,10.0,17.0,2.8899999999999997,4.912999999999999,1.7
2087,0.00975609756097561,32.76800000000001,10.240000000000002,3.2,-4.800000000000001,2.25,-3.375,-1.5
2952,0.01,50.653000000000006,13.690000000000001,3.7,12.209999999999999,10.889999999999999,35.937,3.3
249,0.01,6128.487000000001,334.89000000000004,18.3,241.56,174.23999999999998,2299.968,13.2
405,0.009775171065493646,1061.2079999999999,104.03999999999999,10.2,27.54,7.290000000000001,19.683000000000003,2.7
2645,0.01,1442.8970000000002,127.69000000000001,11.3,47.46000000000001,17.64,74.08800000000001,4.2
3587,0.01,216.0,36.0,6.0,14.399999999999999,5.76,13.823999999999998,2.4
1295,0.009970089730807577,7077.887999999999,368.64,19.2,268.8,196.0,2744.0,14.0
3905,0.009861932938856016,2460.375,182.25,13.5,108.0,64.0,512.0,8.0
3203,0.01,3375.0,225.0,15.0,64.5,18.49,79.50699999999999,4.3
1717,0.009532888465204956,474.55199999999996,60.839999999999996,7.8,19.5,6.25,15.625,2.5
3163,0.01,3869.8929999999996,246.48999999999998,15.7,94.19999999999999,36.0,216.0,6.0
3175,0.01,5451.776000000002,309.76000000000005,17.6,195.36,123.21,1367.6309999999999,11.1
5007,0.00999000999000999,343.0,49.0,7.0,21.0,9.0,27.0,3.0
3887,0.0099601593625498,804.3570000000002,86.49000000000001,9.3,38.13,16.81,68.92099999999998,4.1
4698,0.01,2248.091,171.60999999999999,13.1,89.08,46.239999999999995,314.43199999999996,6.8
4598,0.01,1092.7270000000003,106.09000000000002,10.3,92.7,81.0,729.0,9.0
4326,0.00998003992015968,175.61599999999996,31.359999999999996,5.6,14.559999999999999,6.760000000000001,17.576,2.6
4473,0.01,14706.125,600.25,24.5,431.20000000000005,309.76000000000005,5451.776000000002,17.6
167,0.01,7414.875,380.25,19.5,157.95,65.61,531.4409999999999,8.1
5117,0.01,6028.567999999999,331.23999999999995,18.2,223.86,151.29000000000002,1860.8670000000004,12.3
2926,0.0099601593625498,274.625,42.25,6.5,26.0,16.0,64.0,4.0
1040,0.01,1030.301,102.00999999999999,10.1,-50.5,25.0,-125.0,-5.0
4649,0.01,6.858999999999999,3.61,1.9,-5.51,8.41,-24.389,-2.9
3888,0.01,941.1920000000002,96.04000000000002,9.8,33.32,11.559999999999999,39.303999999999995,3.4
1434,0.00998003992015968,1601.6129999999996,136.89,11.7,79.55999999999999,46.239999999999995,314.43199999999996,6.8
3641,0.00999000999000999,729.0,81.0,9.0,31.5,12.25,42.875,3.5
2018,0.009900990099009901,1643.0320000000004,139.24,11.8,110.92000000000002,88.36000000000001,830.5840000000001,9.4
1681,0.009478672985781991,857.375,90.25,9.5,9.5,1.0,1.0,1.0
2909,0.01,512.0,64.0,8.0,-4.0,0.25,-0.125,-0.5
1783,0.01,912.6729999999998,94.08999999999999,9.7,61.10999999999999,39.69,250.04699999999997,6.3
1817,0.01,3048.625,210.25,14.5,87.0,36.0,216.0,6.0
1975,0.01,3723.875,240.25,15.5,88.35000000000001,32.49,185.193,5.7
4162,0.01,11239.423999999997,501.75999999999993,22.4,304.64,184.95999999999998,2515.4559999999997,13.6
1542,0.01,4741.6320000000005,282.24,16.8,141.12,70.56,592.7040000000001,8.4
2499,0.00992063492063492,5088.447999999999,295.84,17.2,172.0,100.0,1000.0,10.0
2832,0.01,9800.343999999997,457.9599999999999,21.4,306.02,204.49,2924.2070000000003,14.3
2814,0.01,6859.0,361.0,19.0,165.29999999999998,75.68999999999998,658.5029999999998,8.7
729,0.01,8741.816000000003,424.36000000000007,20.6,288.40000000000003,196.0,2744.0,14.0
3782,0.009813542688910696,6751.268999999998,357.2099999999999,18.9,202.22999999999996,114.48999999999998,1225.0429999999997,10.7
3347,0.009861932938856016,1953.125,156.25,12.5,43.75,12.25,42.875,3.5
1252,0.01,10077.696000000002,466.56000000000006,21.6,155.52,51.84,373.24800000000005,7.2
4878,0.01,2924.2070000000003,204.49,14.3,150.15,110.25,1157.625,10.5
1838,0.00975609756097561,2406.1040000000003,179.56,13.4,107.2,64.0,512.0,8.0
1464,0.01,1601.6129999999996,136.89,11.7,65.52,31.359999999999996,175.61599999999996,5.6
4558,0.00975609756097561,6331.625,342.25,18.5,99.9,29.160000000000004,157.46400000000003,5.4
784,0.009940357852882704,753.5709999999999,82.80999999999999,9.1,32.76,12.96,46.656000000000006,3.6
4038,0.01,1481.544,129.96,11.4,33.06,8.41,24.389,2.9
597,0.00999000999000999,85.18400000000003,19.360000000000003,4.4,-7.920000000000001,3.24,-5.832000000000001,-1.8
4638,0.00999000999000999,195.112,33.64,5.8,17.98,9.610000000000001,29.791000000000004,3.1
3160,0.009718172983479106,2744.0,196.0,14.0,33.6,5.76,13.823999999999998,2.4
3114,0.00999000999000999,8000.0,400.0,20.0,280.0,196.0,2744.0,14.0
1683,0.009852216748768473,753.5709999999999,82.80999999999999,9.1,-8.19,0.81,-0.7290000000000001,-0.9
269,0.01,3723.875,240.25,15.5,31.0,4.0,8.0,2.0
4405,0.01,1728.0,144.0,12.0,22.799999999999997,3.61,6.858999999999999,1.9
4220,0.01,1061.2079999999999,104.03999999999999,10.2,76.5,56.25,421.875,7.5
4388,0.01,1367.6309999999999,123.21,11.1,89.91,65.61,531.4409999999999,8.1
10,0.01,2248.091,171.60999999999999,13.1,72.05,30.25,166.375,5.5
3893,0.00998003992015968,2248.091,171.60999999999999,13.1,104.8,64.0,512.0,8.0
2646,0.01,636.0559999999999,73.96,8.6,44.72,27.040000000000003,140.608,5.2
3417,0.01,5088.447999999999,295.84,17.2,213.28,153.76000000000002,1906.6240000000003,12.4
4377,0.01,1906.6240000000003,153.76000000000002,12.4,78.12,39.69,250.04699999999997,6.3
4581,0.00999000999000999,704.969,79.21000000000001,8.9,34.71,15.209999999999999,59.318999999999996,3.9
1878,0.009380863039399626,3652.264,237.16000000000003,15.4,117.03999999999999,57.76,438.97599999999994,7.6
2167,0.01,2299.968,174.23999999999998,13.2,59.4,20.25,91.125,4.5
4893,0.009433962264150943,1404.9279999999997,125.43999999999998,11.2,84.0,56.25,421.875,7.5
564,0.01,2048.383,161.29,12.7,97.78999999999999,59.290000000000006,456.533,7.7
1049,0.01,2000.3759999999997,158.76,12.6,137.34,118.81,1295.0290000000002,10.9
799,0.009823182711198428,125.0,25.0,5.0,5.5,1.2100000000000002,1.3310000000000004,1.1
65,0.01,1643.0320000000004,139.24,11.8,79.06,44.89,300.76300000000003,6.7
301,0.01,658.5029999999998,75.68999999999998,8.7,58.29,44.89,300.76300000000003,6.7
177,0.01,6128.487000000001,334.89000000000004,18.3,263.52000000000004,207.36,2985.9840000000004,14.4
2949,0.00968054211035818,1259.7120000000002,116.64000000000001,10.8,54.0,25.0,125.0,5.0
474,0.01,4410.943999999999,268.96,16.4,73.8,20.25,91.125,4.5
447,0.009267840593141797,6644.6720000000005,353.44000000000005,18.8,165.44000000000003,77.44000000000001,681.4720000000002,8.8
3312,0.009910802775024777,1295.0290000000002,118.81,10.9,91.56,70.56,592.7040000000001,8.4
1969,0.009606147934678195,4657.463,278.89,16.7,208.75,156.25,1953.125,12.5
3695,0.01,1442.8970000000002,127.69000000000001,11.3,9.040000000000001,0.6400000000000001,0.5120000000000001,0.8
3125,0.009930486593843098,5735.338999999999,320.40999999999997,17.9,171.83999999999997,92.16,884.7359999999999,9.6
1390,0.00998003992015968,91.125,20.25,4.5,4.5,1.0,1.0,1.0
3040,0.00998003992015968,3048.625,210.25,14.5,94.25,42.25,274.625,6.5
1748,0.01,74.08800000000001,17.64,4.2,0.42000000000000004,0.010000000000000002,0.0010000000000000002,0.1
1612,0.009250693802035153,6331.625,342.25,18.5,114.7,38.440000000000005,238.32800000000003,6.2
2044,0.01,21.951999999999995,7.839999999999999,2.8,-1.68,0.36,-0.21599999999999997,-0.6
3907,0.009514747859181731,1404.9279999999997,125.43999999999998,11.2,50.4,20.25,91.125,4.5
2505,0.009416195856873822,5088.447999999999,295.84,17.2,199.51999999999998,134.56,1560.896,11.6
5283,0.00980392156862745,50.653000000000006,13.690000000000001,3.7,1.85,0.25,0.125,0.5
3108,0.01,9261.0,441.0,21.0,243.6,134.56,1560.896,11.6
2576,0.01,970.2990000000001,98.01,9.9,64.35000000000001,42.25,274.625,6.5
36,0.009970089730807577,1601.6129999999996,136.89,11.7,74.88,40.96000000000001,262.14400000000006,6.4
1407,0.009425070688030161,1953.125,156.25,12.5,-11.25,0.81,-0.7290000000000001,-0.9
1822,0.01,4096.0,256.0,16.0,148.8,86.49000000000001,804.3570000000002,9.3
2496,0.01,8000.0,400.0,20.0,192.0,92.16,884.7359999999999,9.6
4314,0.009940357852882704,1560.896,134.56,11.6,80.04,47.61000000000001,328.50900000000007,6.9
4464,0.01,10648.0,484.0,22.0,325.6,219.04000000000002,3241.7920000000004,14.8
3697,0.00984251968503937,1331.0,121.0,11.0,62.7,32.49,185.193,5.7
3968,0.009541984732824428,1259.7120000000002,116.64000000000001,10.8,45.36000000000001,17.64,74.08800000000001,4.2
195,0.009746588693957116,4657.463,278.89,16.7,170.33999999999997,104.03999999999999,1061.2079999999999,10.2
315,0.00999000999000999,125.0,25.0,5.0,3.5,0.48999999999999994,0.3429999999999999,0.7
5131,0.00983284169124877,5088.447999999999,295.84,17.2,166.83999999999997,94.08999999999999,912.6729999999998,9.7
4396,0.01,2460.375,182.25,13.5,64.8,23.04,110.59199999999998,4.8
2453,0.01,7414.875,380.25,19.5,208.64999999999998,114.48999999999998,1225.0429999999997,10.7
2649,0.009569377990430622,729.0,81.0,9.0,63.0,49.0,343.0,7.0
2319,0.00967117988394584,512.0,64.0,8.0,44.0,30.25,166.375,5.5
2676,0.01,1000.0,100.0,10.0,63.0,39.69,250.04699999999997,6.3
2115,0.009940357852882704,456.533,59.290000000000006,7.7,27.720000000000002,12.96,46.656000000000006,3.6
3594,0.009823182711198428,1000.0,100.0,10.0,-15.0,2.25,-3.375,-1.5
2008,0.01,912.6729999999998,94.08999999999999,9.7,91.17999999999999,88.36000000000001,830.5840000000001,9.4
4554,0.009532888465204956,3652.264,237.16000000000003,15.4,212.52,190.44000000000003,2628.0720000000006,13.8
1237,0.009302325581395349,7077.887999999999,368.64,19.2,215.04,125.43999999999998,1404.9279999999997,11.2
4819,0.00998003992015968,3869.8929999999996,246.48999999999998,15.7,186.82999999999998,141.61,1685.159,11.9
2978,0.01,1191.0159999999998,112.36,10.6,42.4,16.0,64.0,4.0
1729,0.009861932938856016,1259.7120000000002,116.64000000000001,10.8,59.400000000000006,30.25,166.375,5.5
607,0.01,300.76300000000003,44.89,6.7,34.17,26.009999999999998,132.65099999999998,5.1
617,0.009871668311944718,884.7359999999999,92.16,9.6,60.48,39.69,250.04699999999997,6.3
4942,0.01,343.0,49.0,7.0,-13.299999999999999,3.61,-6.858999999999999,-1.9
3965,0.009930486593843098,1953.125,156.25,12.5,112.5,81.0,729.0,9.0
4844,0.01,8615.125,420.25,20.5,213.20000000000002,108.16000000000001,1124.864,10.4
3180,0.01,4096.0,256.0,16.0,49.6,9.610000000000001,29.791000000000004,3.1
897,0.009900990099009901,6128.487000000001,334.89000000000004,18.3,223.26,148.83999999999997,1815.8479999999997,12.2
3332,0.01,571.7870000000001,68.89000000000001,8.3,33.2,16.0,64.0,4.0
5286,0.00999000999000999,117.64900000000003,24.010000000000005,4.9,-16.66,11.559999999999999,-39.303999999999995,-3.4
4003,0.01,1191.0159999999998,112.36,10.6,67.84,40.96000000000001,262.14400000000006,6.4
132,0.00998003992015968,3112.136,213.16,14.6,151.84,108.16000000000001,1124.864,10.4
1093,0.009940357852882704,1771.561,146.41,12.1,53.24,19.360000000000003,85.18400000000003,4.4
1483,0.009689922480620155,3112.136,213.16,14.6,21.9,2.25,3.375,1.5
1446,0.009950248756218905,1030.301,102.00999999999999,10.1,9.09,0.81,0.7290000000000001,0.9
1183,0.009940357852882704,1481.544,129.96,11.4,80.94,50.41,357.91099999999994,7.1
289,0.009950248756218905,1601.6129999999996,136.89,11.7,93.6,64.0,512.0,8.0
1859,0.01,6229.503999999999,338.55999999999995,18.4,132.48,51.84,373.24800000000005,7.2
179,0.009380863039399626,5177.717000000001,299.29,17.3,211.06,148.83999999999997,1815.8479999999997,12.2
589,0.01,1601.6129999999996,136.89,11.7,117.0,100.0,1000.0,10.0
3483,0.01,5929.741000000002,327.61000000000007,18.1,182.81,102.00999999999999,1030.301,10.1
2790,0.00983284169124877,5832.0,324.0,18.0,264.59999999999997,216.08999999999997,3176.5229999999997,14.7
2525,0.009910802775024777,3375.0,225.0,15.0,102.0,46.239999999999995,314.43199999999996,6.8
2013,0.01,421.875,56.25,7.5,18.0,5.76,13.823999999999998,2.4
4110,0.01,5929.741000000002,327.61000000000007,18.1,152.04000000000002,70.56,592.7040000000001,8.4
1848,0.01,1815.8479999999997,148.83999999999997,12.2,24.4,4.0,8.0,2.0
3351,0.009652509652509652,1601.6129999999996,136.89,11.7,-7.02,0.36,-0.21599999999999997,-0.6
2696,0.00992063492063492,1601.6129999999996,136.89,11.7,81.89999999999999,49.0,343.0,7.0
2611,0.01,2248.091,171.60999999999999,13.1,98.25,56.25,421.875,7.5
1027,0.01,3581.5770000000007,234.09000000000003,15.3,119.34,60.839999999999996,474.55199999999996,7.8
3867,0.0099601593625498,2460.375,182.25,13.5,28.35,4.41,9.261000000000001,2.1
2401,0.01,4492.125,272.25,16.5,166.65,102.00999999999999,1030.301,10.1
4219,0.01,1771.561,146.41,12.1,38.72,10.240000000000002,32.76800000000001,3.2
1170,0.01,103.82300000000001,22.090000000000003,4.7,13.16,7.839999999999999,21.951999999999995,2.8
4965,0.0099601593625498,970.2990000000001,98.01,9.9,76.23,59.290000000000006,456.533,7.7
4522,0.01,12487.168,538.24,23.2,338.71999999999997,213.16,3112.136,14.6
4130,0.009950248756218905,5832.0,324.0,18.0,250.20000000000002,193.21,2685.619,13.9
4739,0.009970089730807577,681.4720000000002,77.44000000000001,8.8,57.2,42.25,274.625,6.5
2476,0.01,5639.752,316.84000000000003,17.8,222.5,156.25,1953.125,12.5
2264,0.01,68.92099999999998,16.81,4.1,-0.41,0.010000000000000002,-0.0010000000000000002,-0.1
3085,0.00983284169124877,4410.943999999999,268.96,16.4,150.87999999999997,84.63999999999999,778.6879999999999,9.2
1131,0.00999000999000999,7645.373,388.09,19.7,185.18,88.36000000000001,830.5840000000001,9.4
251,0.009727626459143969,8365.427000000001,412.09000000000003,20.3,269.99,176.89000000000001,2352.637,13.3
2916,0.01,2744.0,196.0,14.0,131.6,88.36000000000001,830.5840000000001,9.4
3733,0.009425070688030161,1815.8479999999997,148.83999999999997,12.2,109.8,81.0,729.0,9.0
4506,0.01,7762.392000000001,392.04,19.8,275.22,193.21,2685.619,13.9
3104,0.009970089730807577,6028.567999999999,331.23999999999995,18.2,218.39999999999998,144.0,1728.0,12.0
3928,0.01,1860.8670000000004,151.29000000000002,12.3,141.45000000000002,132.25,1520.875,11.5
5207,0.009727626459143969,5832.0,324.0,18.0,221.4,151.29000000000002,1860.8670000000004,12.3
3844,0.00975609756097561,3796.4159999999997,243.35999999999999,15.6,156.0,100.0,1000.0,10.0
4015,0.00992063492063492,1124.864,108.16000000000001,10.4,57.2,30.25,166.375,5.5
4340,0.01,262.14400000000006,40.96000000000001,6.4,-3.2,0.25,-0.125,-0.5
2594,0.01,592.7040000000001,70.56,8.4,46.2,30.25,166.375,5.5
4778,0.01,6751.268999999998,357.2099999999999,18.9,190.89,102.00999999999999,1030.301,10.1
2928,0.01,456.533,59.290000000000006,7.7,34.65,20.25,91.125,4.5
2713,0.009950248756218905,4657.463,278.89,16.7,175.35,110.25,1157.625,10.5
727,0.009606147934678195,6128.487000000001,334.89000000000004,18.3,234.24,163.84000000000003,2097.1520000000005,12.8
4619,0.01,10.648000000000003,4.840000000000001,2.2,-8.14,13.690000000000001,-50.653000000000006,-3.7
2549,0.0099601593625498,2406.1040000000003,179.56,13.4,72.36000000000001,29.160000000000004,157.46400000000003,5.4
4024,0.009746588693957116,132.65099999999998,26.009999999999998,5.1,13.77,7.290000000000001,19.683000000000003,2.7
4973,0.009861932938856016,571.7870000000001,68.89000000000001,8.3,58.10000000000001,49.0,343.0,7.0
257,0.01,3241.7920000000004,219.04000000000002,14.8,125.80000000000001,72.25,614.125,8.5
4035,0.009881422924901186,250.04699999999997,39.69,6.3,-13.23,4.41,-9.261000000000001,-2.1
888,0.01,6859.0,361.0,19.0,190.0,100.0,1000.0,10.0
1279,0.00998003992015968,8000.0,400.0,20.0,336.0,282.24,4741.6320000000005,16.8
518,0.009881422924901186,5177.717000000001,299.29,17.3,197.22000000000003,129.96,1481.544,11.4
2898,0.009930486593843098,592.7040000000001,70.56,8.4,68.88,67.24,551.3679999999998,8.2
1892,0.00999000999000999,5451.776000000002,309.76000000000005,17.6,167.20000000000002,90.25,857.375,9.5
2767,0.00999000999000999,15069.222999999998,610.0899999999999,24.7,355.68,207.36,2985.9840000000004,14.4
2815,0.009191176470588236,6967.871000000002,364.81000000000006,19.1,267.40000000000003,196.0,2744.0,14.0
667,0.0099601593625498,1404.9279999999997,125.43999999999998,11.2,38.08,11.559999999999999,39.303999999999995,3.4
997,0.009861932938856016,5545.232999999999,313.28999999999996,17.7,228.32999999999998,166.41,2146.6890000000003,12.9
3514,0.009813542688910696,4019.679,252.81,15.9,104.94,43.559999999999995,287.496,6.6
1441,0.01,2406.1040000000003,179.56,13.4,80.4,36.0,216.0,6.0
2965,0.01,493.03900000000004,62.410000000000004,7.9,11.850000000000001,2.25,3.375,1.5
4787,0.00980392156862745,1953.125,156.25,12.5,70.0,31.359999999999996,175.61599999999996,5.6
2340,0.01,389.017,53.29,7.3,7.3,1.0,1.0,1.0
571,0.01,2097.1520000000005,163.84000000000003,12.8,121.60000000000001,90.25,857.375,9.5
2897,0.00999000999000999,1404.9279999999997,125.43999999999998,11.2,95.19999999999999,72.25,614.125,8.5
5273,0.009505703422053232,2197.0,169.0,13.0,135.20000000000002,108.16000000000001,1124.864,10.4
2697,0.009319664492078286,1906.6240000000003,153.76000000000002,12.4,114.08,84.63999999999999,778.6879999999999,9.2
916,0.01,7529.536000000002,384.1600000000001,19.6,207.76000000000002,112.36,1191.0159999999998,10.6
4288,0.00999000999000999,1061.2079999999999,104.03999999999999,10.2,10.2,1.0,1.0,1.0
1109,0.01,2924.2070000000003,204.49,14.3,111.54,60.839999999999996,474.55199999999996,7.8
2247,0.00992063492063492,274.625,42.25,6.5,-0.65,0.010000000000000002,-0.0010000000000000002,-0.1
2813,0.009950248756218905,7077.887999999999,368.64,19.2,195.83999999999997,104.03999999999999,1061.2079999999999,10.2
1909,0.01,7077.887999999999,368.64,19.2,195.83999999999997,104.03999999999999,1061.2079999999999,10.2
2865,0.01,10360.232000000002,475.24,21.8,322.64000000000004,219.04000000000002,3241.7920000000004,14.8
510,0.01,6644.6720000000005,353.44000000000005,18.8,189.88,102.00999999999999,1030.301,10.1
3586,0.009541984732824428,1815.8479999999997,148.83999999999997,12.2,61.0,25.0,125.0,5.0
3974,0.009900990099009901,226.98099999999997,37.209999999999994,6.1,18.91,9.610000000000001,29.791000000000004,3.1
327,0.01,226.98099999999997,37.209999999999994,6.1,-33.55,30.25,-166.375,-5.5
3647,0.00966183574879227,1771.561,146.41,12.1,87.12,51.84,373.24800000000005,7.2
4441,0.009891196834817014,6644.6720000000005,353.44000000000005,18.8,188.0,100.0,1000.0,10.0
895,0.009633911368015415,4173.281000000001,259.21000000000004,16.1,115.92000000000002,51.84,373.24800000000005,7.2
1747,0.009852216748768473,614.125,72.25,8.5,-17.85,4.41,-9.261000000000001,-2.1
4917,0.00975609756097561,1367.6309999999999,123.21,11.1,83.25,56.25,421.875,7.5
5065,0.01,1331.0,121.0,11.0,41.8,14.44,54.87199999999999,3.8
4376,0.00983284169124877,1000.0,100.0,10.0,27.0,7.290000000000001,19.683000000000003,2.7
336,0.01,4.912999999999999,2.8899999999999997,1.7,0.17,0.010000000000000002,0.0010000000000000002,0.1
4320,0.009259259259259259,531.4409999999999,65.61,8.1,-8.1,1.0,-1.0,-1.0
4281,0.01,103.82300000000001,22.090000000000003,4.7,14.100000000000001,9.0,27.0,3.0
994,0.0099601593625498,3176.5229999999997,216.08999999999997,14.7,86.73,34.81,205.37900000000005,5.9
616,0.009416195856873822,1092.7270000000003,106.09000000000002,10.3,46.35,20.25,91.125,4.5
5122,0.009596928982725527,3048.625,210.25,14.5,159.5,121.0,1331.0,11.0
3885,0.009794319294809012,2000.3759999999997,158.76,12.6,94.5,56.25,421.875,7.5
247,0.00999000999000999,6229.503999999999,338.55999999999995,18.4,93.83999999999999,26.009999999999998,132.65099999999998,5.1
1503,0.009541984732824428,941.1920000000002,96.04000000000002,9.8,76.44,60.839999999999996,474.55199999999996,7.8
3475,0.01,10218.312999999998,470.89,21.7,234.36,116.64000000000001,1259.7120000000002,10.8
1613,0.009285051067780872,5000.211000000001,292.41,17.1,215.46,158.76,2000.3759999999997,12.6
1298,0.01,6434.856000000002,345.96000000000004,18.6,232.50000000000003,156.25,1953.125,12.5
3459,0.01,3796.4159999999997,243.35999999999999,15.6,156.0,100.0,1000.0,10.0
